datetime,pair,leg_type,leg_height,leg_candles_count,range_height,range_to_leg_ratio,breakout_candle_size,breakout_volume,trend_strength,head_shoulder_pattern,momentum,fake_breakout,result
2025-04-03 22:47:50,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:47:50,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:47:50,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:47:52,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:47:52,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:47:52,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:47:52,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:47:56,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:47:56,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:47:56,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:47:56,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:47:58,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:47:58,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:47:58,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:48:03,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:48:03,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:48:03,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:48:03,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:48:04,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:48:04,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:48:10,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:48:10,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:48:11,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:48:11,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:48:15,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:48:15,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:48:15,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:48:15,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:48:20,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:48:20,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:48:20,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:48:20,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:48:22,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:48:22,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:48:22,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:48:22,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:48:26,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:48:26,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:48:27,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:48:27,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:48:28,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:48:28,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:48:28,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:48:28,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:48:33,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:48:33,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:48:33,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:48:33,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:48:38,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:48:38,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:48:38,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:48:38,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:48:40,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:48:40,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:48:40,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:48:40,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:48:45,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:48:45,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:48:45,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:48:45,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:48:52,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:48:52,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:48:52,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:48:52,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:48:53,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:48:54,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:48:55,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:48:57,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:48:57,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:48:57,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:49:02,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,pending
2025-04-03 22:49:02,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:49:02,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:49:02,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:49:04,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,pending
2025-04-03 22:49:04,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:49:05,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:49:05,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:49:11,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,pending
2025-04-03 22:49:12,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:49:12,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:49:12,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:49:14,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,pending
2025-04-03 22:49:14,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:49:15,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:49:15,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:49:18,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:49:19,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:49:19,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:49:19,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:49:20,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:49:20,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:49:20,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:49:20,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:49:25,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:49:25,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:49:25,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:49:26,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:49:27,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:49:27,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:49:27,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:49:27,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:49:32,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:49:32,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:49:32,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:49:32,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:49:33,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:49:34,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:49:38,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:49:38,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:49:38,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:49:38,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:49:40,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:49:40,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:49:44,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:49:44,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:49:45,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:49:45,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:49:46,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:49:46,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:49:46,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:49:46,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:49:51,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:49:51,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:49:51,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:49:51,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 22:49:56,AUDJPYb,bullish,272.0,8,11.9,4.38,7.0,289.0,0,0,2.7670116110565376e+16,True,failure
2025-04-03 22:49:56,BTCUSD,bullish,272.0,1,11.9,4.38,62.0,177.0,0,0,3.527939804096952e+17,False,success
2025-04-03 22:49:56,USDJPYb,bullish,403.0,7,14.0,3.47,31.0,352.0,0,0,1.106804644422615e+17,True,pending
2025-04-03 22:49:56,XAUUSDb,bullish,403.0,1,14.0,3.47,121.0,449.0,0,0,4.611686018427388e+17,False,success
2025-04-03 23:15:32,AUDJPYb,bearish,346.0,8,12.6,3.64,47.0,329.0,1,0,-8.301034833169613e+16,True,pending
